Name,State,Type,Popularity,BestTimeToVisit
Taj Mahal,Uttar Pradesh,Historical,8.771961835,Nov-Feb
Goa Beaches,Goa,Beach,9.366867008,Nov-Mar
Jaipur City,Rajasthan,City,7.976891811,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.329340966,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.622267855,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.789458969,Nov-Feb
Goa Beaches,Goa,Beach,9.492706285,Nov-Mar
Jaipur City,Rajasthan,City,7.651189907,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.196737201,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.933518733,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.641198251,Nov-Feb
Goa Beaches,Goa,Beach,8.784629096,Nov-Mar
Jaipur City,Rajasthan,City,9.191194973,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.173580627,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.66944927,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.971338259,Nov-Feb
Goa Beaches,Goa,Beach,7.790585198,Nov-Mar
Jaipur City,Rajasthan,City,9.029919743,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.749274376,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.644911366,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.335441126,Nov-Feb
Goa Beaches,Goa,Beach,8.287492092,Nov-Mar
Jaipur City,Rajasthan,City,9.046944772,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.338103885,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.913268955,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.668691909,Nov-Feb
Goa Beaches,Goa,Beach,9.027677155,Nov-Mar
Jaipur City,Rajasthan,City,8.491365338,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.921623279,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.720224496,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.824049108,Nov-Feb
Goa Beaches,Goa,Beach,8.527437467,Nov-Mar
Jaipur City,Rajasthan,City,7.528856525,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.147968243,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.989187748,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.157522251,Nov-Feb
Goa Beaches,Goa,Beach,7.54478424,Nov-Mar
Jaipur City,Rajasthan,City,8.498230857,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.677870327,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.316623635,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.643206988,Nov-Feb
Goa Beaches,Goa,Beach,9.413328344,Nov-Mar
Jaipur City,Rajasthan,City,9.231967797,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.671636575,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.982970017,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.796715429,Nov-Feb
Goa Beaches,Goa,Beach,7.911432524,Nov-Mar
Jaipur City,Rajasthan,City,7.601483088,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.309631134,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.442750358,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.27829177,Nov-Feb
Goa Beaches,Goa,Beach,8.449238006,Nov-Mar
Jaipur City,Rajasthan,City,7.954942388,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.241444803,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.031913943,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.713067195,Nov-Feb
Goa Beaches,Goa,Beach,7.590325473,Nov-Mar
Jaipur City,Rajasthan,City,8.968588467,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.002930521,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.743039575,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.223991095,Nov-Feb
Goa Beaches,Goa,Beach,8.864328395,Nov-Mar
Jaipur City,Rajasthan,City,8.375786034,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.815596905,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.011096327,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.775168604,Nov-Feb
Goa Beaches,Goa,Beach,8.342976754,Nov-Mar
Jaipur City,Rajasthan,City,8.311533772,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.57530472,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.81228743,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.943843806,Nov-Feb
Goa Beaches,Goa,Beach,9.115849499,Nov-Mar
Jaipur City,Rajasthan,City,8.253494746,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.574376628,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.13644499,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.619770095,Nov-Feb
Goa Beaches,Goa,Beach,8.069149587,Nov-Mar
Jaipur City,Rajasthan,City,8.452641011,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.74040067,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.569335477,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.685181358,Nov-Feb
Goa Beaches,Goa,Beach,9.438013884,Nov-Mar
Jaipur City,Rajasthan,City,7.588014606,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.285417261,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.851121958,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.396761498,Nov-Feb
Goa Beaches,Goa,Beach,7.545108072,Nov-Mar
Jaipur City,Rajasthan,City,9.371201914,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.252136618,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.58467963,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.685684923,Nov-Feb
Goa Beaches,Goa,Beach,9.298024385,Nov-Mar
Jaipur City,Rajasthan,City,7.821684369,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.644015149,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.801125565,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.324741876,Nov-Feb
Goa Beaches,Goa,Beach,7.741214134,Nov-Mar
Jaipur City,Rajasthan,City,8.026833744,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.663189053,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.54331106,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.309322897,Nov-Feb
Goa Beaches,Goa,Beach,7.93600433,Nov-Mar
Jaipur City,Rajasthan,City,9.274200566,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.904577589,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.473490132,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.020558973,Nov-Feb
Goa Beaches,Goa,Beach,8.257655226,Nov-Mar
Jaipur City,Rajasthan,City,9.206080667,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.408724187,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.73770749,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.645046759,Nov-Feb
Goa Beaches,Goa,Beach,8.702652456,Nov-Mar
Jaipur City,Rajasthan,City,9.106183997,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.42965008,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.537510611,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.012249945,Nov-Feb
Goa Beaches,Goa,Beach,7.619280847,Nov-Mar
Jaipur City,Rajasthan,City,7.70877272,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.087608839,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.671909274,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.365692888,Nov-Feb
Goa Beaches,Goa,Beach,8.123015873,Nov-Mar
Jaipur City,Rajasthan,City,8.321398767,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.192148288,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.106762585,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.240773308,Nov-Feb
Goa Beaches,Goa,Beach,9.319617878,Nov-Mar
Jaipur City,Rajasthan,City,7.932950633,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.052548436,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.925500312,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.385107105,Nov-Feb
Goa Beaches,Goa,Beach,9.210850999,Nov-Mar
Jaipur City,Rajasthan,City,8.814343714,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.861841359,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.636537892,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.140527124,Nov-Feb
Goa Beaches,Goa,Beach,7.528727097,Nov-Mar
Jaipur City,Rajasthan,City,9.060978552,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.409359527,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.013101245,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.372423129,Nov-Feb
Goa Beaches,Goa,Beach,9.215187537,Nov-Mar
Jaipur City,Rajasthan,City,8.565934397,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.686987874,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.780722104,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.008536059,Nov-Feb
Goa Beaches,Goa,Beach,8.499576396,Nov-Mar
Jaipur City,Rajasthan,City,8.519173371,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.081745748,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.347621265,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.732673715,Nov-Feb
Goa Beaches,Goa,Beach,8.841048136,Nov-Mar
Jaipur City,Rajasthan,City,9.08021632,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.748098699,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.034655061,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.108715094,Nov-Feb
Goa Beaches,Goa,Beach,9.499811031,Nov-Mar
Jaipur City,Rajasthan,City,7.962347871,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.208087955,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.117425965,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.207388381,Nov-Feb
Goa Beaches,Goa,Beach,8.114747173,Nov-Mar
Jaipur City,Rajasthan,City,8.195154681,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.165291117,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.746367368,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.133818191,Nov-Feb
Goa Beaches,Goa,Beach,8.203518829,Nov-Mar
Jaipur City,Rajasthan,City,8.30843543,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.961740524,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.939036209,Apr-Jun
